"date","sentiment"
"2014-01-01","0.5490196078431373"
"2014-01-02","0.09090909090909091"
"2014-01-03","0.11006289308176101"
"2014-01-04","0.23595505617977527"
"2014-01-05","0.19"
"2014-01-06","0.12333333333333334"
"2014-01-07","-0.0036231884057971015"
"2014-01-08","-0.10238907849829351"
"2014-01-09","-0.03870967741935484"
"2014-01-10","-0.10810810810810811"
"2014-01-11","-0.044585987261146494"
"2014-01-12","0.12790697674418605"
"2014-01-13","0.17424242424242425"
"2014-01-14","0.007905138339920948"
"2014-01-15","-0.07692307692307693"
"2014-01-16","-0.3403193612774451"
"2014-01-17","-0.26464646464646463"
"2014-01-18","-0.2565789473684211"
"2014-01-19","0.05813953488372093"
"2014-01-20","-0.04580152671755725"
"2014-01-21","-0.05952380952380952"
"2014-01-22","-0.12935323383084577"
"2014-01-23","-0.045662100456621"
"2014-01-24","-0.17073170731707318"
"2014-01-25","0.1590909090909091"
"2014-01-26","-0.18333333333333332"
"2014-01-27","-0.1623931623931624"
"2014-01-28","0.01935483870967742"
"2014-01-29","0.15384615384615385"
"2014-01-30","-0.04923076923076923"
"2014-01-31","0.03347280334728033"
"2014-02-01","0.22988505747126436"
"2014-02-02","0.18333333333333332"
"2014-02-03","0.03365384615384615"
"2014-02-04","0.05851063829787234"
"2014-02-05","-0.3125"
"2014-02-06","0.03153153153153153"
"2014-02-07","-0.14351851851851852"
"2014-02-08","0.19101123595505617"
"2014-02-09","0.19230769230769232"
"2014-02-10","0.06278026905829596"
"2014-02-11","-0.1407766990291262"
"2014-02-12","0.012145748987854251"
"2014-02-13","0.05806451612903226"
"2014-02-14","-0.12631578947368421"
"2014-02-15","0.0"
"2014-02-16","0.06896551724137931"
"2014-02-17","-0.09734513274336283"
"2014-02-18","-0.05741626794258373"
"2014-02-19","-0.12222222222222222"
"2014-02-20","0.0"
"2014-02-21","0.006711409395973154"
"2014-02-22","0.06306306306306306"
"2014-02-23","0.35365853658536583"
"2014-02-24","0.1380952380952381"
"2014-02-25","0.0121580547112462"
"2014-02-26","0.08035714285714286"
"2014-02-27","0.031746031746031744"
"2014-02-28","-0.4680483592400691"
"2014-03-01","-0.6363636363636364"
"2014-03-02","-0.5816326530612245"
"2014-03-03","-0.38699690402476783"
"2014-03-04","-0.27956989247311825"
"2014-03-05","-0.048701298701298704"
"2014-03-06","-0.06756756756756757"
"2014-03-07","-0.18803418803418803"
"2014-03-08","-0.2236842105263158"
"2014-03-09","-0.04819277108433735"
"2014-03-10","-0.08661417322834646"
"2014-03-11","-0.14150943396226415"
"2014-03-12","-0.03283582089552239"
"2014-03-13","-0.005714285714285714"
"2014-03-14","-0.2015810276679842"
"2014-03-15","-0.31683168316831684"
"2014-03-16","-0.10256410256410256"
"2014-03-17","-0.18324607329842932"
"2014-03-18","-0.07924528301886792"
"2014-03-19","-0.07758620689655173"
"2014-03-20","-0.2044334975369458"
"2014-03-21","0.02032520325203252"
"2014-03-22","0.08450704225352113"
"2014-03-23","0.08771929824561403"
"2014-03-24","-0.010752688172043012"
"2014-03-25","0.08648648648648649"
"2014-03-26","-0.4959016393442623"
"2014-03-27","-0.4513590844062947"
"2014-03-28","-0.3712871287128713"
"2014-03-29","-0.21839080459770116"
"2014-03-30","-0.2826086956521739"
"2014-03-31","-0.006514657980456026"
"2014-04-01","-0.3157894736842105"
"2014-04-02","0.0"
"2014-04-03","-0.34726688102893893"
"2014-04-04","-0.23774509803921567"
"2014-04-05","0.12121212121212122"
"2014-04-06","0.028169014084507043"
"2014-04-07","-0.16237113402061856"
"2014-04-08","-0.22203098106712565"
"2014-04-09","-0.24661246612466126"
"2014-04-10","-0.1409921671018277"
"2014-04-11","-0.16666666666666666"
"2014-04-12","0.24742268041237114"
"2014-04-13","-0.1452991452991453"
"2014-04-14","-0.006278538812785388"
"2014-04-15","0.00764525993883792"
"2014-04-16","-0.09336609336609336"
"2014-04-17","-0.2012012012012012"
"2014-04-18","0.07518796992481203"
"2014-04-19","0.38961038961038963"
"2014-04-20","0.1724137931034483"
"2014-04-21","-0.08296943231441048"
"2014-04-22","-0.07424593967517401"
"2014-04-23","0.0165016501650165"
"2014-04-24","0.036734693877551024"
"2014-04-25","-0.0846774193548387"
"2014-04-26","-0.2857142857142857"
"2014-04-27","0.047619047619047616"
"2014-04-28","-0.0794979079497908"
"2014-04-29","-0.038338658146964855"
"2014-04-30","-0.03088803088803089"
"2014-05-01","0.1125"
"2014-05-02","-0.22448979591836735"
"2014-05-03","-0.033707865168539325"
"2014-05-04","0.1125"
"2014-05-05","-0.020338983050847456"
"2014-05-06","0.14615384615384616"
"2014-05-07","-0.01568627450980392"
"2014-05-08","-0.08653846153846154"
"2014-05-09","-0.157439446366782"
"2014-05-10","-0.029585798816568046"
"2014-05-11","-0.06944444444444445"
"2014-05-12","-0.08653846153846154"
"2014-05-13","-0.06521739130434782"
"2014-05-14","-0.5213815789473685"
"2014-05-15","-0.25770308123249297"
"2014-05-16","-0.07142857142857142"
"2014-05-17","0.2459016393442623"
"2014-05-18","0.11320754716981132"
"2014-05-19","0.004291845493562232"
"2014-05-20","0.17676767676767677"
"2014-05-21","0.05865102639296188"
"2014-05-22","0.023255813953488372"
"2014-05-23","-0.125"
"2014-05-24","0.11403508771929824"
"2014-05-25","0.17647058823529413"
"2014-05-26","0.297029702970297"
"2014-05-27","-0.14878892733564014"
"2014-05-28","0.0881057268722467"
"2014-05-29","-0.03459119496855346"
"2014-05-30","-0.1091703056768559"
"2014-05-31","-0.011111111111111112"
"2014-06-01","0.14285714285714285"
