"Date","Open","High","Low","Close","Adj Close","Volume","Sentiment"
"2014-03-18","186.710007","187.910004","186.509995","187.660004","166.797073","101804600","0.105742935278031"
"2014-03-19","187.679993","187.940002","185.470001","186.660004","165.908203","176267300","0.08756137479541735"
"2014-03-20","186.250000","187.889999","185.919998","187.750000","166.877060","117241000","0.13859649122807016"
"2014-03-21","187.710007","189.020004","186.029999","186.199997","166.229797","163128000","0.12564290962527552"
"2014-03-24","186.839996","187.070007","184.619995","185.429993","165.542374","121411000","0.23305260344556564"
"2014-03-25","186.369995","186.940002","185.270004","186.309998","166.327972","103852000","0.15263157894736842"
"2014-03-26","187.039993","187.339996","184.919998","184.970001","165.131683","119843000","0.03225806451612903"
"2014-03-27","184.750000","185.339996","183.899994","184.580002","164.783585","142383000","0.0"
"2014-03-28","185.110001","186.419998","185.000000","185.490005","165.595947","101642000","0.04725738396624472"
"2014-03-31","186.669998","187.300003","185.520004","187.009995","166.952911","99745000","0.17844893233268952"
"2014-04-01","187.619995","188.360001","187.000000","188.250000","168.059937","89193000","0.07650926479378362"
"2014-04-02","188.490005","189.130005","188.139999","188.880005","168.622360","78774000","0.04864864864864865"
"2014-04-03","189.169998","189.220001","188.050003","188.630005","168.399155","77435000","0.0"
"2014-04-04","189.660004","189.699997","186.100006","186.399994","166.408356","169381000","0.007597895967270602"
"2014-04-07","185.949997","186.259995","183.960007","184.339996","164.569290","140803000","0.13287455199898635"
"2014-04-08","184.259995","185.399994","183.589996","185.100006","165.247787","112660000","0.021629416005767843"
"2014-04-09","185.600006","187.149994","185.059998","187.089996","167.024338","100254000","0.146677471636953"
"2014-04-10","187.080002","187.169998","182.929993","183.160004","163.515823","172959000","-0.007449856733524355"
"2014-04-11","182.139999","183.419998","181.309998","181.509995","162.042831","167251000","-0.010474430067775724"
"2014-04-14","182.929993","183.369995","181.440002","182.940002","163.319412","132382000","0.15789967286782572"
"2014-04-15","183.320007","184.330002","181.509995","184.199997","164.444290","157093000","0.11730769230769231"
"2014-04-16","185.470001","186.139999","184.649994","186.130005","166.167328","105197000","0.14499252615844543"
"2014-04-17","185.880005","186.910004","185.559998","186.389999","166.399429","105255000","0.14176974310180782"
"2014-04-21","186.440002","187.100006","186.210007","187.039993","166.979721","68329000","0.3102822504782187"
"2014-04-22","187.229996","188.399994","187.130005","187.889999","167.738541","85790000","0.21719109746738297"
"2014-04-23","187.820007","187.919998","187.300003","187.449997","167.345673","73869000","0.08828828828828829"
"2014-04-24","188.369995","188.389999","186.929993","187.830002","167.684952","88170000","0.07914893617021276"
"2014-04-25","187.220001","187.330002","185.869995","186.289993","166.310135","100380000","0.05714285714285714"
"2014-04-28","187.050003","187.690002","184.960007","186.880005","166.836853","135121000","0.18498495545585145"
"2014-04-29","187.479996","188.039993","187.080002","187.750000","167.613541","84098000","0.08063021316033364"
"2014-04-30","187.440002","188.500000","187.179993","188.309998","168.113510","101508000","0.07439310884886452"
"2014-05-01","188.220001","188.839996","187.729996","188.330002","168.131332","93019000","0.1284722222222222"
